disease,drug
cystic fibrosis,"azithromycin, tobramycin, dornase alfa, pancrelipase, vitamin e, ivacaftor, amikacin, aztreonam, gentamicin, ivacaftor / lumacaftor"
cysticercus cellulosae,"albendazole, praziquantel"
cystinuria,"captopril, tiopronin, penicillamine"
cystourethrography,iohexol
cytokine release syndrome,tocilizumab
dandruff,"ketoconazole, pyrithione zinc, salicylic acid / sulfur, selenium sulfide, salicylic acid"
deep neck infection,"clindamycin, metronidazole, ampicillin / sulbactam, cilastatin / imipenem, piperacillin / tazobactam, cefoxitin, penicillin g potassium, penicillin g sodium"
deep vein thrombosis,"enoxaparin, rivaroxaban, heparin, apixaban, dabigatran, fondaparinux, edoxaban, urokinase"
deep vein thrombosis prophylaxis after abdominal surgery,"enoxaparin, dalteparin, fondaparinux"
deep vein thrombosis prophylaxis after hip replacement surgery,"warfarin, enoxaparin, rivaroxaban, apixaban, fondaparinux, dalteparin"
deep vein thrombosis prophylaxis after knee replacement surgery,"warfarin, enoxaparin, apixaban, rivaroxaban, fondaparinux"
deep vein thrombosis prophylaxis after orthopedic surgery,dalteparin
"deep vein thrombosis, first event",warfarin
"deep vein thrombosis, prophylaxis","enoxaparin, heparin, rivaroxaban, apixaban, fondaparinux, dalteparin, dabigatran, desirudin"
"deep vein thrombosis, recurrent event","warfarin, rivaroxaban"
deep vein thrombosis/pulmonary embolism prophylaxis following hip replacement surgery,dabigatran
dehydration,lvp solution
"delayed puberty, male","testosterone, methyltestosterone, fluoxymesterone"
dementia,"haloperidol, ergoloid mesylates"
dengue fever,acetaminophen
dental abscess,"amoxicillin, metronidazole, clarithromycin, erythromycin"
depression,"bupropion, sertraline, citalopram, fluoxetine, escitalopram, venlafaxine, duloxetine, trazodone, mirtazapine, paroxetine"
depressive psychosis,"olanzapine, amitriptyline"
dercum's disease,"fentanyl, pregabalin"
"dermal necrosis, prophylaxis",triamcinolone
"dermal necrosis, treatment",phentolamine
dermal ulcer,"collagenase, becaplermin, cadexomer iodine"
dermatitis,"triamcinolone, clobetasol, betamethasone, hydrocortisone, fluocinonide, desonide, mometasone, fluocinolone, prednisolone, desoximetasone, fluticasone"
dermatitis herpetiformis,"dapsone, prednisone, dexamethasone"
dermatofibrosarcoma protuberans,imatinib
dermatographism,carbinoxamine
dermatologic lesion,"zinc oxide, methylprednisolone, balsam peru / castor oil / trypsin, fluticasone, sodium hyaluronate, balsam peru / castor oil"
dermatological disorders,"betamethasone, triamcinolone, clobetasol, hydroquinone, urea, salicylic acid, hydrocortisone / pramoxine, silver"
dermatomyositis,"prednisone, methotrexate, hydroxychloroquine, azathioprine, mycophenolic acid, mycophenolate mofetil, cyclophosphamide, cortisone"
dermatophytosis,"ketoconazole, griseofulvin, itraconazole"
diabetes insipidus,"hydrochlorothiazide, desmopressin, vasopressin"
diabetes mellitus,"insulin degludec, insulin aspart / insulin degludec"
"diabetes, type 1","insulin glargine, insulin lispro, insulin aspart, insulin regular, insulin glulisine"
"diabetes, type 2","metformin, glipizide, glimepiride, pioglitazone, liraglutide, sitagliptin, metformin / sitagliptin"
"diabetes, type 3c",metformin
diabetic ketoacidosis,"sodium bicarbonate, insulin regular, insulin lispro, insulin aspart, insulin glulisine"
diabetic kidney disease (diabetic nephropathy),"lisinopril, losartan, ramipril, enalapril, irbesartan, benazepril, captopril, quinapril, perindopril, fosinopril, moexipril, trandolapril, canagliflozin"
diabetic macular edema,"fluocinolone, dexamethasone, ranibizumab, aflibercept"
diabetic peripheral neuropathy,"gabapentin, pregabalin, duloxetine, tapentadol, topiramate, capsaicin, nortriptyline, carbamazepine, mexiletine"
diabetic retinopathy,"ranibizumab, aflibercept"
diagnosis and investigation,"mannitol, tuberculin purified protein derivative, metyrapone, tetrofosmin, glucagon, regadenoson, iobenguane I 123, methacholine, sodium iodide-i-131"
diagnostic bronchograms,acetylcysteine
diaper rash,"zinc oxide, miconazole / zinc oxide, lanolin, menthol / zinc oxide, vitamin a & d, vitamins a, d, and e"
diarrhea,"loperamide, atropine / diphenoxylate, bismuth subsalicylate, codeine, saccharomyces boulardii lyo, rifaximin, neomycin, octreotide, opium"
"diarrhea, acute","loperamide, loperamide / simethicone, atropine / difenoxin"
"diarrhea, chronic","loperamide, colesevelam, bismuth subsalicylate, atropine / difenoxin"
dientamoeba fragilis,"metronidazole, paromomycin"
dietary fiber supplementation,psyllium
dietary supplementation,"multivitamin, biotin, omega-3 polyunsaturated fatty acids, calcium / vitamin d, vitamin e, calcium citrate, ascorbic acid, chondroitin / glucosamine, bifidobacterium infantis / lactobacillus acidophilus"
diffuse idiopathic skeletal hyperostosis,"ibuprofen, naproxen"
diffuse large b-cell lymphoma,"prednisone, cyclophosphamide, rituximab, doxorubicin, vincristine, axicabtagene ciloleucel, hyaluronidase / rituximab, tisagenlecleucel, polatuzumab vedotin"
digital subtraction angiography,iohexol
digitalis glycoside toxicity,digoxin immune fab
diphtheria,"procaine penicillin, penicillin g potassium, penicillin g sodium"
diphtheria prophylaxis,"diphtheria toxoid / pertussis, acellular / tetanus toxoid, diphtheria toxoid / tetanus toxoid, diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria and tetanus toxoids / pertussis, acellular, diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
dissociative identity disorder,"sertraline, venlafaxine, fluoxetine, citalopram"
diverticulitis,"metronidazole, ciprofloxacin, clindamycin, sulfamethoxazole / trimethoprim"
dog tapeworm infection (dipylidium caninum),"praziquantel, paromomycin"
dracunculiasis,"metronidazole, mebendazole"
dravet syndrome,"cannabidiol, stiripentol"
drowsiness (hypersomnia),"caffeine, modafinil, dextroamphetamine, armodafinil"
drug induced vitamin/mineral deficiency,pyridoxine
dry eye disease (keratoconjunctivitis sicca),"cyclosporine, lifitegrast, hydroxypropyl methylcellulose"
dry skin (xerosis),"ammonium lactate, urea, emollients"
duchenne muscular dystrophy,"deflazacort, eteplirsen, golodirsen"
dumping syndrome,"pantoprazole, cholestyramine, acarbose, methscopolamine, octreotide"
duodenal ulcer,"omeprazole, ranitidine, sucralfate, pantoprazole, rabeprazole, famotidine, lansoprazole, atropine / hyoscyamine / phenobarbital / scopolamine, calcium carbonate"
duodenal ulcer prophylaxis,"ranitidine, sucralfate, esomeprazole, famotidine, lansoprazole, rabeprazole, cimetidine"
dupuytren's contracture,collagenase clostridium histolyticum
dwarf tapeworm infection (hymenolepis nana),"nitazoxanide, praziquantel, paromomycin"
dysautonomia,"midodrine, fludrocortisone, pyridostigmine, lorazepam, alprazolam, amitriptyline, sertraline, naproxen, ibuprofen, fluoxetine, nortriptyline, paroxetine"
dyslipidemia,"pitavastatin, fluvastatin"
dyspareunia,"ospemifene, dehydroepiandrosterone, estradiol"
dystonia,"baclofen, carbamazepine, onabotulinumtoxinA"
dysuria,"phenazopyridine, oxybutynin, flavoxate"
ear wax impaction,carbamide peroxide
ebola zaire disease prophylaxis,"ebola zaire vaccine, live"
echinococcus,"mebendazole, praziquantel, albendazole"
echocardiography,perflutren
ectopic pregnancy,methotrexate
eczema,"triamcinolone, mometasone, hydrocortisone, clobetasol, desonide, prednisone, fluocinonide, ranitidine, desoximetasone, methotrexate, halobetasol, pimecrolimus, dexamethasone, fluocinolone, alclometasone, azathioprine"
edema,"furosemide, hydrochlorothiazide, spironolactone, bumetanide, metolazone, torsemide, hydrochlorothiazide / triamterene, hydrochlorothiazide / spironolactone, triamterene, chlorthalidone, pamabrom, acetazolamide"
ehrlichiosis,"doxycycline, tetracycline"
electromechanical dissociation,"epinephrine, calcium chloride"
emergency contraception (postcoital contraception),"levonorgestrel, ethinyl estradiol / levonorgestrel, ulipristal, ethinyl estradiol / norgestrel"
encephalopathy,methylene blue
endocarditis,"vancomycin, ceftriaxone, ampicillin, rifampin, metronidazole, cefazolin, ceftazidime, daptomycin, gentamicin, cilastatin / imipenem, oxacillin, tobramycin, streptomycin"
endometrial cancer,"megestrol, medroxyprogesterone, anastrozole, cyclophosphamide, pembrolizumab, lenvatinib"
endometrial hyperplasia,megestrol
"endometrial hyperplasia, prophylaxis","medroxyprogesterone, progesterone"
endometriosis,"norethindrone, medroxyprogesterone, progesterone, ethinyl estradiol / levonorgestrel, danazol, leuprolide, ethinyl estradiol / norethindrone, ethinyl estradiol / norgestimate"
endometritis,"ceftriaxone, gentamicin, ceftazidime, piperacillin / tazobactam, cefotaxime, cefoxitin, cilastatin / imipenem"
endoscopy or radiology premedication,"diazepam, hyoscyamine, simethicone, iopamidol"
enterobiasis,pyrantel
enterocolitis,"chlordiazepoxide / clidinium, atropine / hyoscyamine / phenobarbital / scopolamine, doxycycline, vancomycin, albendazole"
enuresis,"imipramine, belladonna"
eosinophilic esophagitis,"fluticasone, budesonide"
eosinophilic granulomatosis with polyangiitis,mepolizumab
"epicondylitis, tennis elbow","dexamethasone, cortisone, prednisone"
"epididymitis, non-specific","ceftriaxone, ofloxacin"
"epididymitis, sexually transmitted","doxycycline, ciprofloxacin, levofloxacin, tetracycline, ceftriaxone, ofloxacin"
epiglottitis,"ceftriaxone, sulfamethoxazole / trimethoprim, cefuroxime, cefotaxime, ampicillin / sulbactam"
epilepsy,"levetiracetam, carbamazepine, gabapentin, lamotrigine, divalproex sodium, phenytoin, valproic acid, oxcarbazepine"
epithelioid sarcoma,tazemetostat
erdheim-chester disease,vemurafenib
erectile dysfunction,"sildenafil, tadalafil, vardenafil, alprostadil, avanafil"
erosive esophagitis,"omeprazole, pantoprazole, ranitidine, esomeprazole, lansoprazole, famotidine, omeprazole / sodium bicarbonate, dexlansoprazole, rabeprazole, calcium carbonate"
erythema mulitforme,corticotropin
erythroblastopenia,"prednisone, triamcinolone, dexamethasone, cortisone"
erythromelalgia,gabapentin
esophageal candidiasis,"fluconazole, ketoconazole, amphotericin b, itraconazole, voriconazole, caspofungin, anidulafungin, micafungin"
esophageal carcinoma,"methotrexate, porfimer, trastuzumab, pembrolizumab"
esophageal spasm,"isosorbide mononitrate, isosorbide dinitrate"
esophageal variceal hemorrhage prophylaxis,"nadolol, atenolol"
esophageal varices,ethanolamine oleate
esophageal varices with bleeding,vasopressin
ethylene glycol poisoning,fomepizole
eumycetoma,voriconazole
eustachian tube dysfunction,"cetirizine, ibuprofen, diphenhydramine, acetaminophen"
euvolemic hyponatremia,"tolvaptan, conivaptan"
evan's syndrome,"cyclosporine, dexamethasone, immune globulin intravenous, danazol, rituximab, vincristine, mycophenolate mofetil"
ewing's sarcoma,"cyclophosphamide, dactinomycin"
excessive salivation,glycopyrrolate
exchange transfusion,calcium gluconate
excoriation disorder,"fluoxetine, paroxetine, citalopram"
expectoration (mucolysis),"acetylcysteine, dextromethorphan / guaifenesin"
exposure to hepatitis b virus,hepatitis b immune globulin
extrapyramidal reaction,"benztropine, diphenhydramine, trihexyphenidyl, amantadine"
extravasation,"hyaluronidase, dexrazoxane"
eye conditions,"lutein, sulfacetamide sodium, natamycin, ceftriaxone, corticotropin"
eye redness,"fluorometholone, naphazoline, tetrahydrozoline, phenylephrine, oxymetazoline, brimonidine"
eye redness/itching,"fluorometholone, naphazoline / pheniramine, triprolidine, tetrahydrozoline / zinc sulfate"
eyelash hypotrichosis,"bimatoprost, fluorometholone"
fabry disease,"agalsidase beta, migalastat"
facial lipoatrophy,poly-l-lactic acid
facial wrinkles,"tazarotene, onabotulinumtoxinA, abobotulinumtoxinA, azficel-t, incobotulinumtoxinA"
factor ix deficiency,"tranexamic acid, coagulation factor ix, factor ix complex"
factor vii deficiency,"coagulation factor viia, factor ix complex"
factor x deficiency,coagulation factor x
factor xiii deficiency,factor XIII
failure to thrive,cyproheptadine
fallopian tube cancer,"bevacizumab, niraparib"
familial adenomatous polyposis,"sulindac, celecoxib"
familial cold autoinflammatory syndrome,"canakinumab, rilonacept"
familial hypophosphatemia,ergocalciferol
familial mediterranean fever,"colchicine, canakinumab"
fascioliasis,triclabendazole
"fasciolopsis buski, intestinal fluke",praziquantel
fatigue,"modafinil, methylphenidate, amphetamine / dextroamphetamine, amantadine, dextroamphetamine"
febrile neutropenia,"cefepime, piperacillin / tazobactam, amikacin, caspofungin, ciprofloxacin, amoxicillin / clavulanate, ceftazidime, vancomycin, amphotericin b liposomal, gentamicin, itraconazole, cilastatin / imipenem"
fecal incontinence,dextranomer / sodium hyaluronate
felty's syndrome,auranofin
female infertility,"metformin, letrozole, clomiphene, chorionic gonadotropin (hcg), leuprolide, menotropins, urofollitropin"
fever,"acetaminophen, ibuprofen, aspirin, naproxen"
fibrinolytic bleeding,aminocaproic acid
fibrocystic breast disease,danazol
fibromatosis,"celecoxib, colchicine"
fibromyalgia,"gabapentin, tramadol, cyclobenzaprine, duloxetine, amitriptyline, trazodone, pregabalin, meloxicam, guaifenesin, armodafinil, nabilone, prednisone, milnacipran, topiramate, escitalopram, metaxalone, naltrexone, venlafaxine, fluoxetine, sodium oxybate"
"filariasis, elephantiasis","albendazole, mebendazole, ivermectin"
fish tapeworm infection (diphyllobothrium latum),"praziquantel, paromomycin"
fluorouracil overdose,uridine
focal segmental glomerulosclerosis,"cyclosporine, rituximab, corticotropin"
folic acid antagonist overdose,leucovorin
folic acid deficiency,"folic acid, l-methylfolate"
follicle stimulation,"menotropins, follicle stimulating hormone, urofollitropin"
follicular lymphoma,"rituximab, clarithromycin, idelalisib, obinutuzumab, interferon alfa-2b, copanlisib, duvelisib, hyaluronidase / rituximab"
foot care,salicylic acid / urea
forehead lines,"onabotulinumtoxinA, prabotulinumtoxinA"
frozen shoulder,"diclofenac, ibuprofen, naproxen, nabumetone, piroxicam, indomethacin, triamcinolone"
functional gastric disorder,simethicone
fungal endocarditis,"amphotericin b, flucytosine"
fungal infection prevention,"fluconazole, amphotericin b"
fungal infection prophylaxis,"fluconazole, itraconazole, amphotericin b, micafungin, gentian violet"
"fungal infection, internal and disseminated","fluconazole, voriconazole"
fungal infections,fluconazole
fungal meningitis,voriconazole
fungal peritonitis,fluconazole
fungal pneumonia,"fluconazole, voriconazole"
fusariosis,voriconazole
"fusospirochetosis, trench mouth","penicillin v potassium, penicillin g potassium, procaine penicillin, penicillin g sodium"
gerd,"omeprazole, pantoprazole, ranitidine, famotidine, lansoprazole, esomeprazole, rabeprazole, sucralfate, dexlansoprazole, omeprazole / sodium bicarbonate"
gtp-ch deficiency,"carbidopa / levodopa, carbidopa"
gallbladder contraction,sincalide
gallbladder disease,"ursodiol, chenodeoxycholic acid"
gas,"simethicone, aluminum hydroxide / magnesium hydroxide / simethicone"
gastric cancer,"methotrexate, ramucirumab, trastuzumab, pembrolizumab, docetaxel, tipiracil / trifluridine"
gastric ulcer maintenance treatment,ranitidine
gastric ulcer prophylaxis,esomeprazole
gastrinoma,octreotide
gastritis/duodenitis,"omeprazole, pantoprazole, lansoprazole, esomeprazole"
gastroenteritis,"ondansetron, doxycycline, ceftriaxone, ampicillin, rotavirus vaccine"
gastrointestinal candidiasis,nystatin
gastrointestinal decontamination,polyethylene glycol 3350 with electrolytes
gastrointestinal hemorrhage,"ranitidine, omeprazole / sodium bicarbonate, vasopressin, aluminum hydroxide"
gastrointestinal perforation,"metronidazole, ciprofloxacin"
gastrointestinal stromal tumor,"imatinib, sunitinib, regorafenib, avapritinib"
gastrointestinal surgery,"alvimopan, lidocaine"
gastrointestinal tract examination,"iohexol, lidocaine"
gastroparesis,metoclopramide
gaucher disease,"imiglucerase, miglustat, velaglucerase alfa, eliglustat, taliglucerase alfa"
gender dysphoria,"spironolactone, estradiol, testosterone, progesterone, medroxyprogesterone, conjugated estrogens"
generalized anxiety disorder,"escitalopram, quetiapine, sertraline, citalopram, pregabalin, venlafaxine, duloxetine, paroxetine"
gestational diabetes,"insulin isophane, insulin regular, insulin isophane / insulin regular"
giant cell arteritis,"prednisone, tocilizumab, infliximab"
giant cell tumor of bone,denosumab
giardiasis,"metronidazole, nitazoxanide, tinidazole, albendazole, paromomycin"
gingivitis,"chlorhexidine, hydrocortisone"
gitelman syndrome,indomethacin
glanders,chloramphenicol
glanzmann's disease,coagulation factor viia
glaucoma,"acetazolamide, brimonidine / timolol, pilocarpine, methazolamide, nadolol, apraclonidine, carbachol, mitomycin, echothiophate iodide"
"glaucoma, narrow angle",pilocarpine
"glaucoma, open angle","latanoprost, timolol, brimonidine, dorzolamide / timolol, dorzolamide, bimatoprost, travoprost, brinzolamide, tafluprost, brimonidine / brinzolamide"
glaucoma/intraocular hypertension,"brimonidine / timolol, tafluprost, latanoprostene bunod"
glioblastoma multiforme,"temozolomide, bevacizumab, hydroxyurea, carmustine, procarbazine"
glomerulonephritis,"azathioprine, penicillin g benzathine"
glucagonoma,octreotide
gnathostomiasis,albendazole
"gold poisoning, severe",dimercaprol
gonadotropin inhibition,"ganirelix, ethinyl estradiol / levonorgestrel, ethinyl estradiol / norgestimate, ethinyl estradiol / norethindrone, desogestrel / ethinyl estradiol"
"gonococcal infection, disseminated","ciprofloxacin, cefixime, levofloxacin, ceftriaxone, cefuroxime, cefpodoxime, ofloxacin, penicillin g potassium, cefotaxime, penicillin g sodium"
"gonococcal infection, uncomplicated","azithromycin, ceftriaxone, ciprofloxacin, doxycycline, cefixime, levofloxacin, cefuroxime, tetracycline"
gout,"allopurinol, febuxostat, probenecid, pegloticase, allopurinol / lesinurad, lesinurad, rilonacept"
"gout, acute","colchicine, indomethacin, naproxen, ibuprofen, methylprednisolone"
"gout, prophylaxis",colchicine
gouty arthritis,"prednisone, colchicine / probenecid, dexamethasone, triamcinolone, betamethasone, probenecid, cortisone"
graft-versus-host disease,"prednisone, tacrolimus, ibrutinib, mycophenolate mofetil, methotrexate, cyclosporine, ruxolitinib"
gram negative infection,"colistimethate, penicillin g potassium, penicillin g sodium"
granuloma annulare,"fluocinonide, halobetasol, isotretinoin"
granuloma inguinale,"azithromycin, doxycycline, minocycline, sulfamethoxazole / trimethoprim, ciprofloxacin"
granulomatosis with polyangiitis,"azathioprine, rituximab, cyclophosphamide, etanercept"
growth hormone reserve test,"insulin regular, macimorelin"
"growth retardation, chronic renal failure",somatropin
gynecological conditions,misoprostol
hiv infection,"lamivudine, efavirenz / emtricitabine / tenofovir, ritonavir, emtricitabine / tenofovir, tenofovir, abacavir"
haemophilus influenzae prophylaxis,"rifampin, haemophilus b conjugate (prp-t) vaccine, diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, haemophilus b conjugate (prp-omp) vaccine, diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
hairy cell leukemia,"cladribine, pentostatin, interferon alfa-2b, moxetumomab pasudotox"
hangover,aspirin / caffeine
hashimoto's disease (chronic lymphocytic thyroiditis),"levothyroxine, thyroid desiccated"
head imaging,"ioversol, iohexol"
head injury,"amantadine, risperidone"
head lice,"malathion, permethrin, piperonyl butoxide / pyrethrins, ivermectin, spinosad, benzyl alcohol, lindane, sodium chloride, acetic acid"
head and neck cancer,"cetuximab, methotrexate, nivolumab, pembrolizumab, docetaxel"
headache,"ibuprofen, acetaminophen / butalbital / caffeine, naproxen, trazodone, aspirin / butalbital / caffeine, acetaminophen / butalbital / caffeine / codeine, acetaminophen / butalbital"
heart attack (myocardial infarction),"aspirin, clopidogrel, metoprolol, lisinopril, nitroglycerin, ramipril, warfarin, atenolol, enoxaparin"
heart failure (congestive heart failure),"furosemide, carvedilol, spironolactone, lisinopril, digoxin, metoprolol, isosorbide mononitrate, amlodipine, warfarin, hydralazine"
heat stress,electrolyte replacement solutions
helicobacter pylori infection,"omeprazole, clarithromycin, amoxicillin, metronidazole, amoxicillin / clarithromycin / lansoprazole, pantoprazole, tetracycline, bismuth subcitrate potassium / metronidazole / tetracycline, lansoprazole, bismuth subsalicylate, rabeprazole, amoxicillin / clarithromycin / omeprazole, esomeprazole"
hemangioma,propranolol
hemochromatosis,deferasirox
hemolytic anemia,"dexamethasone, triamcinolone, cortisone"
hemolytic uremic syndrome,"eculizumab, ravulizumab"
hemophagocytic lymphohistiocytosis,emapalumab
hemophilia a,"antihemophilic factor, desmopressin, tranexamic acid, anti-inhibitor coagulant complex, antihemophilic factor / von willebrand factor"
hemophilia a with inhibitors,"factor ix complex, emicizumab"
hemophilia b,"coagulation factor ix, factor ix complex, coagulation factor viia"
hemorrhagic cystitis prophylaxis,mesna
hemorrhoids,"hydrocortisone, lidocaine, hydrocortisone / pramoxine, phenylephrine, dibucaine, hydrocortisone / lidocaine, pramoxine"
hemosiderosis,"deferasirox, deferiprone"
hemostasis,"fibrin sealant, thrombin"
heparin overdose,protamine
hepatic coma,"neomycin, paromomycin"
hepatic encephalopathy,"lactulose, rifaximin, neomycin"
hepatic tumor,sorafenib
hepatic veno-occlusive disease,defibrotide
hepatitis a,immune globulin intramuscular
hepatitis a prophylaxis,"hepatitis a adult vaccine, hepatitis a adult vaccine / hepatitis b adult vaccine, hepatitis a pediatric vaccine"
hepatitis b,"entecavir, tenofovir, lamivudine, adefovir, tenofovir alafenamide, interferon alfa-2b, peginterferon alfa-2a, peginterferon alfa-2b"
hepatitis b prevention (hepatitis b prophylaxis),"hepatitis b adult vaccine, hepatitis a adult vaccine / hepatitis b adult vaccine, hepatitis b pediatric vaccine, diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
hepatitis c,"ribavirin, ledipasvir / sofosbuvir, sofosbuvir, sofosbuvir / velpatasvir, peginterferon alfa-2a, dasabuvir / ombitasvir / paritaprevir / ritonavir, elbasvir / grazoprevir, interferon alfa-2b, peginterferon alfa-2b, glecaprevir / pibrentasvir, sofosbuvir / velpatasvir / voxilaprevir"
hepatocellular carcinoma,"sorafenib, nivolumab, regorafenib, pembrolizumab, lenvatinib, cabozantinib, ramucirumab"
herbal supplementation,bioflavonoids
hereditary angioedema,"C1 esterase inhibitor (human), ecallantide, icatibant, conestat alfa, lanadelumab"
hereditary orotic aciduria,uridine
hereditary tyrosinemia type 1,nitisinone
herniated disk,"naproxen, ibuprofen"
herpes simplex,"acyclovir, docosanol, allantoin / camphor / phenol, valacyclovir"
herpes simplex - congenital,acyclovir
herpes simplex dendritic keratitis,ganciclovir
herpes simplex encephalitis,acyclovir
"herpes simplex, mucocutaneous/immunocompetent host","valacyclovir, acyclovir, famciclovir"
"herpes simplex, mucocutaneous/immunocompromised host","valacyclovir, acyclovir, famciclovir, foscarnet"
"herpes simplex, suppression","valacyclovir, acyclovir, famciclovir"
herpes zoster,"acyclovir, valacyclovir, famciclovir, prednisone"
herpes zoster iridocyclitis,prednisone
"herpes zoster, prophylaxis","zoster vaccine live, zoster vaccine, inactivated"
herpetic keratitis,"trifluridine, acyclovir"
"heterophyes heterophyes, intestinal fluke",praziquantel
"heterotopic ossification, spinal cord injury",etidronate
"heterotopic ossification, total hip arthroplasty",etidronate
hiatal hernia,"omeprazole, ranitidine, lansoprazole, famotidine, aluminum hydroxide / magnesium hydroxide / simethicone, aluminum hydroxide / magnesium trisilicate"
hiccups,"chlorpromazine, baclofen, prochlorperazine, gabapentin"
hidradenitis suppurativa,adalimumab
high blood pressure (hypertension),"lisinopril, amlodipine, losartan, hydrochlorothiazide, metoprolol, atenolol, carvedilol, furosemide, hydrochlorothiazide / lisinopril, clonidine, enalapril, valsartan"
high cholesterol,"atorvastatin, simvastatin, pravastatin, rosuvastatin, lovastatin, ezetimibe, gemfibrozil, niacin, ezetimibe / simvastatin, fenofibric acid"
"high cholesterol, familial heterozygous","atorvastatin, pravastatin, simvastatin, ezetimibe, rosuvastatin, lovastatin, ezetimibe / simvastatin, evolocumab, alirocumab, fluvastatin"
"high cholesterol, familial homozygous","atorvastatin, simvastatin, rosuvastatin, ezetimibe / simvastatin, lomitapide, evolocumab"
high risk percutaneous transluminal angioplasty,"allopurinol, abciximab"
hirsutism,"spironolactone, eflornithine, flutamide, leuprolide"
histiocytosis,"vinblastine, cyclophosphamide, etanercept"
histoplasmosis,"itraconazole, fluconazole, ketoconazole, amphotericin b lipid complex"
"histoplasmosis, immunocompenent host",amphotericin b
"histoplasmosis, meningitis",amphotericin b
hodgkin's lymphoma,"bleomycin, dacarbazine, doxorubicin, vinblastine, etoposide, cyclophosphamide, vincristine, procarbazine, brentuximab, methotrexate, chlorambucil, nivolumab, carmustine"
hookworm infection (necator or ancylostoma),"mebendazole, albendazole, pyrantel"
hordeolum,"bacitracin / polymyxin b, bacitracin / neomycin / polymyxin b"
hot flashes,"venlafaxine, gabapentin, paroxetine, fluoxetine, esterified estrogens / methyltestosterone, citalopram, megestrol, duloxetine, mirtazapine, bazedoxifene / conjugated estrogens, desvenlafaxine"
human papilloma virus,"imiquimod, cimetidine, podophyllum resin, resorcinol"
human papillomavirus prophylaxis,human papillomavirus vaccine
huntington's disease,"tetrabenazine, baclofen, deutetrabenazine"
hydatid disease,"mebendazole, albendazole"
hydrocephalus,acetazolamide
hyperammonemia,"sodium benzoate / sodium phenylacetate, carglumic acid"
hyperbilirubinemia,phenobarbital
hypercalcemia,"furosemide, calcitonin, pamidronate"
hypercalcemia of malignancy,"dexamethasone, zoledronic acid, prednisone, cinacalcet, pamidronate, denosumab, etidronate"
hyperekplexia,"diazepam, clonazepam, divalproex sodium, levetiracetam, valproic acid"
hypereosinophilic syndrome,imatinib
hyperhidrosis,"oxybutynin, aluminum chloride hexahydrate, clonidine, terazosin, benztropine, gabapentin, amitriptyline, glycopyrronium, onabotulinumtoxinA"
hyperhomocysteinemia,"l-methylfolate, multivitamin"
hyperimmunoglobulin d syndrome,canakinumab
hyperkalemia,"calcium gluconate, sodium bicarbonate, sodium polystyrene sulfonate, patiromer, insulin regular, calcium chloride, sodium zirconium cyclosilicate"
hyperkalemic periodic paralysis,dichlorphenamide
hyperlipoproteinemia,"fenofibrate, atorvastatin, pravastatin, simvastatin, gemfibrozil, rosuvastatin, colestipol, niacin, cholestyramine, lovastatin, colesevelam"
"hyperlipoproteinemia type iii, elevated beta-vldl   idl","atorvastatin, simvastatin, pravastatin, rosuvastatin"
"hyperlipoproteinemia type iia, elevated ldl","fenofibrate, atorvastatin, simvastatin, pravastatin, rosuvastatin, cholestyramine, lovastatin, colesevelam, colestipol, fluvastatin"
"hyperlipoproteinemia type iib, elevated ldl   vldl","fenofibrate, gemfibrozil, atorvastatin, simvastatin, rosuvastatin, pravastatin, colestipol, lovastatin, cholestyramine, fluvastatin"
"hyperlipoproteinemia type iv, elevated vldl","fenofibrate, atorvastatin, niacin, gemfibrozil, rosuvastatin, simvastatin, pravastatin"
"hyperlipoproteinemia type v, elevated chylomicrons   vldl","fenofibrate, gemfibrozil, niacin"
hypermagnesemia,"calcium gluconate, calcium chloride"
hyperparathyroidism secondary to renal impairment,"calcifediol, etelcalcetide"
hyperphosphatemia,"calcium acetate, aluminum hydroxide"
hyperphosphatemia of renal failure,"sevelamer, sucralfate, lanthanum carbonate, ferric citrate, sucroferric oxyhydroxide, magnesium carbonate"
hyperprolactinemia,"cabergoline, bromocriptine"
hypertensive emergency,"clonidine, hydralazine, enalapril, nifedipine, captopril, labetalol, nitroprusside, methyldopa, diazoxide, fenoldopam, clevidipine"
